1,1,2064.29,528.53,225.99,380.29,0.93,-1,-1,-1
1,2,1167.61,417.66,58.32,154.91,0.89,-1,-1,-1
1,3,1413.05,414.01,41.31,114.21,0.87,-1,-1,-1
1,4,1489.59,407.63,36.45,94.16,0.87,-1,-1,-1
2,1,2063.23,528.53,225.99,379.24,0.93,-1,-1,-1
2,2,1167.61,416.60,59.37,156.49,0.89,-1,-1,-1
2,3,1413.05,414.54,41.31,113.68,0.87,-1,-1,-1
2,4,1489.59,409.48,36.45,92.05,0.86,-1,-1,-1
3,1,2046.00,529.95,216.52,368.63,0.93,-1,-1,-1
3,2,1169.02,415.95,58.62,158.65,0.90,-1,-1,-1
3,3,1411.15,412.97,41.31,115.49,0.86,-1,-1,-1
3,4,1490.54,406.21,36.45,95.04,0.87,-1,-1,-1
4,1,2022.65,528.98,226.84,362.52,0.94,-1,-1,-1
4,2,1171.34,417.83,59.28,157.93,0.90,-1,-1,-1
4,3,1411.48,413.39,41.31,114.68,0.85,-1,-1,-1
4,4,1490.83,408.84,36.45,91.87,0.86,-1,-1,-1
5,1,2006.97,525.01,235.36,362.72,0.94,-1,-1,-1
5,2,1172.49,420.04,58.61,156.73,0.91,-1,-1,-1
5,3,1409.84,412.22,43.10,116.17,0.86,-1,-1,-1
5,4,1490.01,410.48,36.45,90.28,0.87,-1,-1,-1
6,1,2003.84,519.35,219.56,364.76,0.93,-1,-1,-1
6,2,1173.24,419.67,57.50,158.05,0.90,-1,-1,-1
6,3,1407.61,412.92,43.70,116.23,0.87,-1,-1,-1
6,4,1490.59,411.66,34.71,89.36,0.85,-1,-1,-1
7,1,2009.09,514.47,194.30,365.62,0.93,-1,-1,-1
7,2,1174.73,419.29,55.41,158.92,0.90,-1,-1,-1
7,3,1406.00,412.34,43.89,117.91,0.87,-1,-1,-1
7,4,1490.79,412.03,34.10,87.36,0.88,-1,-1,-1
8,1,2011.77,513.05,171.44,361.20,0.94,-1,-1,-1
8,2,1175.62,418.92,54.69,159.64,0.90,-1,-1,-1
8,3,1405.46,412.15,43.93,118.50,0.87,-1,-1,-1
8,4,1490.00,410.21,33.91,87.98,0.86,-1,-1,-1
9,1,2006.81,513.30,155.47,348.61,0.93,-1,-1,-1
9,2,1176.31,419.18,54.47,159.88,0.89,-1,-1,-1
9,3,1404.49,411.67,43.93,119.92,0.87,-1,-1,-1
9,4,1488.03,408.92,35.54,89.07,0.87,-1,-1,-1
10,1,1992.08,516.04,154.58,334.09,0.93,-1,-1,-1
10,2,1176.51,418.86,55.25,160.36,0.90,-1,-1,-1
10,3,1403.36,411.31,43.91,120.42,0.87,-1,-1,-1
10,4,1486.52,407.21,36.13,90.73,0.86,-1,-1,-1
10,5,2067.93,368.75,26.73,69.86,0.77,-1,-1,-1
11,1,1974.68,514.81,156.26,328.45,0.93,-1,-1,-1
11,2,1176.54,419.33,56.37,160.93,0.90,-1,-1,-1
11,3,1402.99,410.78,43.89,122.19,0.87,-1,-1,-1
11,4,1486.78,408.01,36.36,90.14,0.85,-1,-1,-1
11,5,2069.87,369.24,26.73,71.81,0.78,-1,-1,-1
12,1,1959.74,510.06,153.75,325.62,0.93,-1,-1,-1
12,2,1176.93,419.51,55.99,161.93,0.90,-1,-1,-1
12,3,1402.08,410.19,45.49,122.83,0.88,-1,-1,-1
12,4,1486.09,406.69,36.44,91.14,0.86,-1,-1,-1
12,5,2073.06,368.17,24.86,67.07,0.41,-1,-1,-1
13,1,1946.46,501.17,151.50,330.82,0.92,-1,-1,-1
13,2,1176.63,419.76,57.48,162.69,0.91,-1,-1,-1
13,3,1401.77,409.98,46.08,123.04,0.88,-1,-1,-1
13,4,1485.04,404.79,36.47,93.54,0.85,-1,-1,-1
13,5,2077.05,368.54,22.28,63.52,0.53,-1,-1,-1
14,1,1933.00,500.66,147.60,323.69,0.93,-1,-1,-1
14,2,1177.30,420.45,57.24,164.17,0.91,-1,-1,-1
14,3,1400.89,410.92,46.29,121.88,0.88,-1,-1,-1
14,4,1484.66,406.09,36.48,91.64,0.84,-1,-1,-1
14,5,2079.98,369.62,23.59,65.02,0.69,-1,-1,-1
15,1,1915.29,506.37,148.14,303.12,0.92,-1,-1,-1
15,2,1177.12,420.51,58.76,165.10,0.91,-1,-1,-1
15,3,1398.99,410.28,47.95,123.02,0.88,-1,-1,-1
15,4,1483.73,405.00,36.48,91.70,0.84,-1,-1,-1
15,5,2082.54,369.72,23.95,64.20,0.67,-1,-1,-1
16,1,1897.86,508.01,150.14,294.71,0.92,-1,-1,-1
16,2,1177.04,420.52,60.92,165.83,0.91,-1,-1,-1
16,3,1398.30,409.05,46.99,124.63,0.88,-1,-1,-1
16,4,1483.40,400.17,36.48,95.76,0.84,-1,-1,-1
16,5,2085.87,369.09,25.82,66.18,0.68,-1,-1,-1
17,1,1887.07,498.85,146.10,300.51,0.93,-1,-1,-1
17,2,1176.60,420.91,62.52,165.28,0.91,-1,-1,-1
17,3,1397.28,407.79,48.18,125.62,0.86,-1,-1,-1
17,4,1483.30,398.39,36.47,96.86,0.84,-1,-1,-1
17,5,2088.61,368.03,26.48,71.50,0.74,-1,-1,-1
18,1,1882.08,492.18,136.52,303.33,0.92,-1,-1,-1
